model,dataset,source,frame,status,gt_cx,gt_cy,gt_w_px,gt_h_px,sqrt_area_px,clutter,conf,iop
old_baseline,selcom_val,selcom,selcom_selcom_00008.jpg,FN,0.5141,0.6147,67.9,31.5,46.25,12913.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00008.jpg,FN,0.5216,0.6037,55.0,28.0,39.24,18325.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00011.jpg,FN,0.5029,0.6028,55.0,28.0,39.24,20608.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00037.jpg,FN,0.4922,0.5935,50.0,22.0,33.17,35968.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00046.jpg,FN,0.4872,0.5944,53.0,24.0,35.66,34193.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00050.jpg,FN,0.4908,0.5954,40.0,23.2,30.46,36455.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00054.jpg,FN,0.488,0.5954,54.0,26.0,37.47,35825.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00058.jpg,FN,0.4948,0.5968,56.0,23.0,35.89,37298.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00061.jpg,FN,0.501,0.5963,56.0,28.0,39.6,34289.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00061.jpg,FP,0.3831,0.2793,47.4,25.5,34.75,2716.9,0.3585,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00068.jpg,FN,0.4987,0.5977,59.0,25.0,38.41,35827.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00073.jpg,FN,0.4984,0.5995,62.0,31.0,43.84,32985.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00079.jpg,FN,0.4997,0.5685,55.0,24.0,36.33,36942.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00088.jpg,FN,0.501,0.537,60.0,26.0,39.5,37442.4,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00091.jpg,FN,0.499,0.5366,64.0,25.0,40.0,36814.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00102.jpg,FN,0.5,0.5389,68.0,22.0,38.68,42446.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00103.jpg,FN,0.5003,0.5384,65.0,17.0,33.24,41058.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00108.jpg,FN,0.4992,0.5389,69.0,30.0,45.5,34397.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00111.jpg,FN,0.5003,0.5398,65.0,32.0,45.61,33191.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00114.jpg,FN,0.4992,0.5398,63.0,24.0,38.88,38410.9,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00117.jpg,FN,0.5023,0.5407,51.0,30.0,39.12,30680.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00118.jpg,FN,0.5021,0.5398,52.0,28.0,38.16,33597.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00120.jpg,FN,0.5029,0.5417,53.0,28.0,38.52,34860.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00122.jpg,FN,0.5031,0.5407,54.0,30.0,40.25,32541.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00129.jpg,FN,0.5029,0.5407,53.0,26.0,37.12,37148.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00140.jpg,FN,0.5005,0.5356,62.0,33.0,45.23,31917.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00145.jpg,FN,0.5016,0.5384,60.0,21.0,35.5,40780.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00149.jpg,FN,0.5013,0.5352,49.0,24.0,34.29,36243.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00151.jpg,FN,0.5032,0.5349,53.2,31.6,41.03,32261.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00153.jpg,FN,0.5003,0.5343,53.0,22.0,34.15,37127.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00155.jpg,FN,0.5036,0.5343,50.0,30.0,38.73,32824.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00158.jpg,FN,0.5031,0.5333,48.0,28.0,36.66,34241.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00166.jpg,FN,0.5042,0.5333,48.0,24.0,33.94,34028.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00172.jpg,FN,0.5047,0.5352,50.0,28.0,37.42,35150.8,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00185.jpg,FN,0.5021,0.5367,54.7,31.5,41.49,33243.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00191.jpg,FN,0.491,0.5343,54.2,31.3,41.16,38516.7,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00193.jpg,FN,0.4883,0.5301,39.0,27.0,32.45,43799.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00199.jpg,FN,0.5193,0.5231,42.0,30.0,35.5,30002.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00200.jpg,FN,0.5346,0.5194,31.0,26.0,28.39,33137.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00205.jpg,FN,0.5578,0.5176,38.0,28.0,32.62,25572.0,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00207.jpg,FN,0.5521,0.5176,48.0,24.0,33.94,25544.2,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00219.jpg,FN,0.5365,0.512,48.0,26.0,35.33,19399.6,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00220.jpg,FN,0.5352,0.5125,39.0,25.0,31.23,17943.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00222.jpg,FN,0.5328,0.5157,42.0,24.0,31.75,20692.3,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00223.jpg,FN,0.5328,0.5139,42.0,28.0,34.29,20583.1,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00227.jpg,FN,0.532,0.5125,45.0,21.0,30.74,16965.5,0.0,0.0
old_baseline,selcom_val,selcom,selcom_selcom_00231.jpg,FN,0.5307,0.5134,42.0,23.0,31.08,16589.7,0.0,0.0
