model,dataset,imgsz,n_images,tp,fp,fn,precision,recall,f1,mean_ms_per_frame,total_seconds
old_baseline,selcom_val,640,311,2,6,293,0.25,0.0068,0.0132,44.9,51.1
old_baseline,selcom_val,960,311,8,3,287,0.7273,0.0271,0.0523,32.7,17.6
old_baseline,selcom_val,1280,311,26,37,269,0.4127,0.0881,0.1453,41.81,19.9
old_baseline,selcom_val,1920,311,39,40,256,0.4937,0.1322,0.2086,69.13,27.9
old_baseline,dataset_rgb,640,1721,1384,26,97,0.9816,0.9345,0.9575,23.33,92.2
old_baseline,dataset_rgb,960,1721,1374,39,107,0.9724,0.9278,0.9496,31.03,79.9
old_baseline,dataset_rgb,1280,1721,1353,111,128,0.9242,0.9136,0.9188,41.31,94.6
old_baseline,dataset_rgb,1920,1721,1252,311,229,0.801,0.8454,0.8226,71.71,144.4
old_baseline,antiuav,640,214,200,3,2,0.9852,0.9901,0.9877,22.37,8.8
old_baseline,antiuav,960,214,200,2,2,0.9901,0.9901,0.9901,28.2,8.5
old_baseline,antiuav,1280,214,200,10,2,0.9524,0.9901,0.9709,37.8,10.1
old_baseline,antiuav,1920,214,181,15,21,0.9235,0.896,0.9095,64.71,16.1
ft2_1280,selcom_val,640,311,35,5,260,0.875,0.1186,0.209,23.18,14.0
ft2_1280,selcom_val,960,311,129,17,166,0.8836,0.4373,0.585,27.85,14.9
ft2_1280,selcom_val,1280,311,138,43,157,0.7624,0.4678,0.5798,40.66,19.2
ft2_1280,selcom_val,1920,311,115,40,180,0.7419,0.3898,0.5111,67.8,27.4
ft2_1280,dataset_rgb,640,1721,1345,40,136,0.9711,0.9082,0.9386,18.77,52.8
ft2_1280,dataset_rgb,960,1721,1383,56,98,0.9611,0.9338,0.9473,21.66,56.0
ft2_1280,dataset_rgb,1280,1721,1378,155,103,0.8989,0.9305,0.9144,34.1,77.4
ft2_1280,dataset_rgb,1920,1721,1345,312,136,0.8117,0.9082,0.8572,75.67,152.9
ft2_1280,antiuav,640,214,201,2,1,0.9901,0.995,0.9926,16.51,5.4
ft2_1280,antiuav,960,214,201,11,1,0.9481,0.995,0.971,20.98,6.3
ft2_1280,antiuav,1280,214,199,38,3,0.8397,0.9851,0.9066,31.63,8.6
ft2_1280,antiuav,1920,214,184,22,18,0.8932,0.9109,0.902,59.74,14.6
hardneg_v3more,selcom_val,640,311,0,15,295,0.0,0.0,0.0,17.29,10.6
hardneg_v3more,selcom_val,1280,311,4,3,291,0.5714,0.0136,0.0265,32.24,15.3
hardneg_v3more,antiuav,640,214,200,4,2,0.9804,0.9901,0.9852,16.65,5.4
hardneg_v3more,antiuav,1280,214,198,20,4,0.9083,0.9802,0.9429,31.63,8.6
retrained_v2,selcom_val,640,311,0,4,295,0.0,0.0,0.0,16.73,10.2
retrained_v2,selcom_val,1280,311,1,3,294,0.25,0.0034,0.0067,31.35,15.0
