feature,type,F_class,auroc_alone,F_domain_inclass,leakage_ratio,robust_rank
neither_detect,cross-modal,58280.470685067354,0.9638278,0.0,0.0,5.0
conf_sum,confidence,173903.24449553055,0.9826352,370.5421619996964,0.0021307252337318286,8.0
ir_n_dets,other,231516.05486760975,0.9542047,451.021488371617,0.001948113449480118,10.0
ir_mean_conf,confidence,274833.91285421536,0.96675456,682.3000679333177,0.002482581491730783,13.0
ir_max_conf,confidence,262713.49358213815,0.96544325,699.4279309637355,0.0026623119319644927,15.0
ir_detected,other,359859.40745755326,0.95393366,834.4329362707857,0.002318768386236571,15.0
ir_best_aspect_ratio,geometry,88322.38624076972,0.95230645,175.22370497911456,0.0019838879875082507,16.0
xmodal_scale_ratio,geometry,129415.41855546087,0.90258116,195.50519523591072,0.0015106676372142673,20.0
ir_best_pos_x,scene/fingerprint,118489.88767198875,0.95317763,371.7835206258464,0.003137654953307739,22.0
both_detect,cross-modal,138260.5940562934,0.9005137,251.09324100660504,0.0018160736733902553,23.0
xmodal_conf_ratio,confidence,112745.67903481402,0.9049509,266.1996424943256,0.0023610419816634085,24.0
conf_product,confidence,106891.1728218805,0.9068454,325.5890181663901,0.0030459575249624175,26.0
ir_best_pos_y,scene/fingerprint,136954.0187861331,0.9528479,1309.0343643762426,0.009558133582679516,28.0
total_dets,cross-modal,102781.47899423253,0.90131503,245.41881123643253,0.002387749484522589,28.0
ir_best_log_bbox_area,geometry,199799.43322950552,0.9455529,1007.5739088758041,0.005042901522232589,29.0
ir_best_dist_to_center,scene/fingerprint,32648.53205930126,0.9470163,475.18123495631016,0.014553998326629606,35.0
rgb_only_detect,cross-modal,22529.063041727437,0.9540187,834.4329362707242,0.03703642261121459,36.0
bg_delta_diff,other,22689.16390895397,0.90476805,240.02482766792278,0.010578364644303182,36.0
rgb_mean_conf,confidence,37533.611773286866,0.83349705,128.5240157324391,0.003424146665183008,40.0
rgb_max_conf,confidence,28441.31138498901,0.81579643,122.62051215759527,0.004311200679080908,42.0
ir_best_local_contrast,other,37999.43359977361,0.8943967,552.5943644197571,0.01454179102901208,45.0
ir_best_target_bg_delta,other,29817.724562293366,0.895029,715.522174755704,0.02399573372968817,47.0
rgb_detected,other,27237.652746969205,0.5507947,25.9562676379408,0.0009529203914400248,49.0
rgb_best_aspect_ratio,geometry,14323.602420854642,0.7784757,158.66759856945646,0.011076579573228388,50.0
ir_only_detect,cross-modal,802.231215589438,0.88416314,25.956267637928796,0.032314814382408207,51.0
rgb_blurriness,other,17719.717941392613,0.87098926,1035.805227244315,0.058451651376090596,56.0
rgb_best_pos_x,scene/fingerprint,11532.814393245591,0.6724263,78.4786257430483,0.006804221315457165,56.0
det_count_diff,cross-modal,8457.794361778999,0.9000052,693.7598970829899,0.08201640416011755,56.0
contrast_diff,other,10158.169095839934,0.7676219,253.28307026112614,0.024931474992855737,57.0
rgb_best_log_bbox_area,geometry,26054.419805129917,0.80566764,1530.7439131520102,0.058749539427901676,60.0
xmodal_centroid_dist,cross-modal,12143.053720024418,0.9057908,6937.072037743856,0.5712319953184386,61.0
rgb_best_pos_y,scene/fingerprint,9041.236255987958,0.6639238,128.7965006768408,0.01424387696036465,61.0
scene_entropy_diff,scene/fingerprint,7641.786831494068,0.7444913,669.6165659668708,0.08761418847998528,68.0
rgb_img_mean,scene/fingerprint,5849.940211893734,0.69230986,361.26702469277427,0.06174512328093768,71.0
ir_img_std,scene/fingerprint,9528.69054927712,0.7267996,1060.3807896616788,0.11127127205007875,75.0
brightness_ratio,scene/fingerprint,2034.7844289956633,0.5223058,42.72925372275733,0.0209890856390121,75.0
ir_img_mean,scene/fingerprint,9845.185948368131,0.7352385,1665.4543806491315,0.16914715905047045,76.0
ir_sky_ground_ratio,scene/fingerprint,6382.449923799156,0.7356231,1121.3249236489398,0.1756612704782644,77.0
rgb_n_dets,other,11784.113671580726,0.55049247,512.1875419904513,0.043460551697992414,79.0
ir_edge_density,other,6730.386007346551,0.5903002,594.7043457977829,0.08834797843248478,80.0
rgb_sky_ground_ratio,scene/fingerprint,3965.5122070520742,0.7059295,693.4906466267784,0.17483638280346628,80.0
ir_blurriness,other,379.70023840044865,0.7949724,4441.0555999011385,11.665492037936966,82.0
conf_diff,confidence,6507.32387793248,0.50438094,211.3344114535968,0.03247140360825621,84.0
rgb_best_target_bg_delta,other,2151.7915894153,0.55941015,257.50067308925463,0.11961244848563907,87.0
pos_euclidean_diff,cross-modal,7511.447784758587,0.510099,524.6708218274715,0.06984019548088372,87.0
rgb_best_dist_to_center,scene/fingerprint,827.9778284320405,0.61626,605.4351101269517,0.730339327979488,88.0
ir_img_entropy,scene/fingerprint,6316.175787482428,0.7077675,18964.708430088976,3.0020865443807674,88.0
ir_img_dynamic_range,scene/fingerprint,2456.129966026313,0.61389494,2327.5700326825663,0.9472718435186105,90.0
rgb_best_local_contrast,other,1654.0340026180886,0.5700998,291.7131048551294,0.1762580734859043,90.0
aspect_ratio_diff,geometry,1966.3284614674983,0.5077174,182.09348777154227,0.09255876247310144,92.0
area_diff,geometry,4298.468187013092,0.50578785,473.12004337413686,0.11004152671794062,94.0
scene_entropy_mean,scene/fingerprint,1635.5394466403457,0.5895358,4711.8345596939125,2.8791451189073656,95.0
rgb_img_dynamic_range,scene/fingerprint,438.13584783817623,0.55253005,548.0081683676341,1.2479240104524052,96.0
rgb_edge_density,other,2970.9395931539693,0.5250796,5213.469221146762,1.754231220969727,100.0
rgb_img_entropy,scene/fingerprint,3.868578343283563,0.5103975,1496.5538891032934,307.3903270279837,106.0
rgb_img_std,scene/fingerprint,0.5975478529314746,0.5023853,558.5423364167873,349.6247923915838,112.0
