model,surface,modality,category,stage,classifier,size_bucket,frames,tp,fp,fn,precision,recall,f1,fppi,fp_frame_rate,source
baseline,svanstrom_rgb,rgb,AIRPLANE,rgb_raw,none,all,677,0,532,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
baseline,svanstrom_rgb,rgb,BIRD,rgb_raw,none,all,589,0,807,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
baseline,svanstrom_rgb,rgb,DRONE,rgb_raw,none,all,1299,1248,79,54,0.940,0.959,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
baseline,svanstrom_rgb,rgb,HELICOPTER,rgb_raw,none,all,625,0,464,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
hardneg_v3more,svanstrom_rgb,rgb,AIRPLANE,rgb_raw,none,all,677,0,501,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
hardneg_v3more,svanstrom_rgb,rgb,BIRD,rgb_raw,none,all,589,0,776,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
hardneg_v3more,svanstrom_rgb,rgb,DRONE,rgb_raw,none,all,1299,1237,78,65,0.941,0.950,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
hardneg_v3more,svanstrom_rgb,rgb,HELICOPTER,rgb_raw,none,all,625,0,300,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
retrained_v2,svanstrom_rgb,rgb,AIRPLANE,rgb_raw,none,all,677,0,41,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
retrained_v2,svanstrom_rgb,rgb,BIRD,rgb_raw,none,all,589,0,20,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
retrained_v2,svanstrom_rgb,rgb,DRONE,rgb_raw,none,all,1299,398,24,904,0.943,0.306,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
retrained_v2,svanstrom_rgb,rgb,HELICOPTER,rgb_raw,none,all,625,0,28,0,0.000,0.000,,,,eval\results\_failure_diagnosis\svanstrom_1280_by_category.csv
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,ir_raw,none,all,,0,10,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/test
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,all,,0,9,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/test
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,small,,0,5,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/test
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,medium,,0,4,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/test
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,large,,0,1,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/test
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,ir_raw,none,all,,0,1043,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/train
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,all,,0,968,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/train
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,small,,0,634,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/train
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,medium,,0,305,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/train
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,large,,0,104,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/train
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,ir_raw,none,all,,0,75,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/valid
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,all,,0,71,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/valid
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,small,,0,41,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/valid
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,medium,,0,25,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/valid
ir_model,roboflow_ir_airplane_hors2,ir,AIRPLANE_HORS2,+patch,none,large,,0,9,,,,,,,eval\results\roboflow_ood\summary.csv#ir_airplane_hors2/valid
ir_model,roboflow_ir_airplane_plane,ir,AIRPLANE_PLANE,ir_raw,none,all,,0,251,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_plane/train
ir_model,roboflow_ir_airplane_plane,ir,AIRPLANE_PLANE,+patch,none,all,,0,234,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#ir_airplane_plane/train
