mode,stage,n,TP,FP,FN,P,R,F1
any,S0_rgb_raw,1000,910,93,23,0.9072781655034895,0.9753483386923901,0.9400826446280991
any,S0_ir_base,1000,923,22,62,0.9767195767195768,0.9370558375634518,0.9564766839378238
any,S1_+temporal_rgb,1000,313,0,13,1.0,0.9601226993865031,0.9796557120500783
argmax,S2_+classifier (production),1000,1822,97,96,0.9494528400208442,0.9499478623566214,0.9497002866823039
argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
argmax,S2_+classifier_seg,1000,323,7,3,0.9787878787878788,0.99079754601227,0.9847560975609756
argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
softveto,S2_+classifier,1000,967,95,951,0.9105461393596986,0.5041710114702815,0.648993288590604
softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
softveto,S2_+classifier_seg,1000,324,7,2,0.9788519637462235,0.9938650306748467,0.9863013698630138
softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
