mode,stage,n,TP,FP,FN,P,R,F1
any,S0_rgb_raw,1000,391,530,29,0.4245385450597177,0.930952380952381,0.5831469052945564
any,S0_ir_base,1000,396,25,14,0.9406175771971497,0.9658536585365853,0.9530685920577617
any,S1_+temporal_rgb,1000,136,156,4,0.4657534246575342,0.9714285714285714,0.6296296296296297
argmax,S2_+classifier (production),1000,773,25,57,0.968671679197995,0.9313253012048193,0.9496314496314496
argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
argmax,S2_+classifier_seg,1000,139,0,1,1.0,0.9928571428571429,0.996415770609319
argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
softveto,S2_+classifier,1000,417,34,413,0.9246119733924612,0.5024096385542168,0.6510538641686182
softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
softveto,S2_+classifier_seg,1000,139,4,1,0.972027972027972,0.9928571428571429,0.9823321554770317
softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
