classifier,dataset,mode,stage,n,TP,FP,FN,P,R,F1
lean19,antiuav,any,S0_rgb_raw,1000,910,93,23,0.9072781655034895,0.9753483386923901,0.9400826446280991
lean19,antiuav,any,S0_ir_base,1000,923,22,62,0.9767195767195768,0.9370558375634518,0.9564766839378238
lean19,antiuav,any,S1_+temporal_rgb,1000,313,0,13,1.0,0.9601226993865031,0.9796557120500783
lean19,antiuav,argmax,S2_+classifier (production),1000,1825,104,93,0.9460860549507517,0.9515119916579771,0.9487912659214972
lean19,antiuav,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
lean19,antiuav,argmax,S2_+classifier_seg,1000,323,7,3,0.9787878787878788,0.99079754601227,0.9847560975609756
lean19,antiuav,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
lean19,antiuav,softveto,S2_+classifier,1000,966,93,952,0.9121813031161473,0.5036496350364964,0.6489754786698019
lean19,antiuav,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
lean19,antiuav,softveto,S2_+classifier_seg,1000,324,7,2,0.9788519637462235,0.9938650306748467,0.9863013698630138
lean19,antiuav,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
A,antiuav,any,S0_rgb_raw,1000,910,93,23,0.9072781655034895,0.9753483386923901,0.9400826446280991
A,antiuav,any,S0_ir_base,1000,923,22,62,0.9767195767195768,0.9370558375634518,0.9564766839378238
A,antiuav,any,S1_+temporal_rgb,1000,313,0,13,1.0,0.9601226993865031,0.9796557120500783
A,antiuav,argmax,S2_+classifier (production),1000,1822,97,96,0.9494528400208442,0.9499478623566214,0.9497002866823039
A,antiuav,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
A,antiuav,argmax,S2_+classifier_seg,1000,323,7,3,0.9787878787878788,0.99079754601227,0.9847560975609756
A,antiuav,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
A,antiuav,softveto,S2_+classifier,1000,967,95,951,0.9105461393596986,0.5041710114702815,0.648993288590604
A,antiuav,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
A,antiuav,softveto,S2_+classifier_seg,1000,324,7,2,0.9788519637462235,0.9938650306748467,0.9863013698630138
A,antiuav,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,antiuav,any,S0_rgb_raw,1000,910,93,23,0.9072781655034895,0.9753483386923901,0.9400826446280991
B,antiuav,any,S0_ir_base,1000,923,22,62,0.9767195767195768,0.9370558375634518,0.9564766839378238
B,antiuav,any,S1_+temporal_rgb,1000,313,0,13,1.0,0.9601226993865031,0.9796557120500783
B,antiuav,argmax,S2_+classifier (production),1000,1097,24,821,0.9785905441570026,0.5719499478623566,0.7219480092135571
B,antiuav,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
B,antiuav,argmax,S2_+classifier_seg,1000,323,7,3,0.9787878787878788,0.99079754601227,0.9847560975609756
B,antiuav,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,antiuav,softveto,S2_+classifier,1000,966,95,952,0.9104618284637135,0.5036496350364964,0.6485397784491441
B,antiuav,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
B,antiuav,softveto,S2_+classifier_seg,1000,324,7,2,0.9788519637462235,0.9938650306748467,0.9863013698630138
B,antiuav,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
C,antiuav,any,S0_rgb_raw,1000,910,93,23,0.9072781655034895,0.9753483386923901,0.9400826446280991
C,antiuav,any,S0_ir_base,1000,923,22,62,0.9767195767195768,0.9370558375634518,0.9564766839378238
C,antiuav,any,S1_+temporal_rgb,1000,313,0,13,1.0,0.9601226993865031,0.9796557120500783
C,antiuav,argmax,S2_+classifier (production),1000,1825,103,93,0.9465767634854771,0.9515119916579771,0.9490379615184608
C,antiuav,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
