dataset,category,model,modality,stage,scoring,size_bucket,TP,FP,FN,TN,P,R,F1,FR_pct,n_gt,n_frames,flag
antiuav,drone,baseline,rgb,rgb,iou,small,153,9,5,,0.9444,0.9684,0.9562,9.11,158,1779,
antiuav,drone,baseline,rgb,rgb,iou,medium,1379,39,26,,0.9725,0.9815,0.977,79.71,1405,1779,
antiuav,drone,baseline,rgb,rgb,iou,large,100,1,0,,0.9901,1.0,0.995,5.68,100,1779,
antiuav,drone,baseline,rgb,rgb,iou,all,1632,49,31,,0.9709,0.9814,0.9761,94.49,1663,1779,
antiuav,drone,baseline,rgb,+rgb_filter,iou,small,153,9,5,,0.9444,0.9684,0.9562,9.11,158,1779,
antiuav,drone,baseline,rgb,+rgb_filter,iou,medium,1379,39,26,,0.9725,0.9815,0.977,79.71,1405,1779,
antiuav,drone,baseline,rgb,+rgb_filter,iou,large,100,1,0,,0.9901,1.0,0.995,5.68,100,1779,
antiuav,drone,baseline,rgb,+rgb_filter,iou,all,1632,49,31,,0.9709,0.9814,0.9761,94.49,1663,1779,
antiuav,drone,baseline,rgb,classifier,iou,small,182,10,2,,0.9479,0.9891,0.9681,10.79,158,1779,
antiuav,drone,baseline,rgb,classifier,iou,medium,2891,62,34,,0.979,0.9884,0.9837,165.99,1405,1779,
antiuav,drone,baseline,rgb,classifier,iou,large,210,2,1,,0.9906,0.9953,0.9929,11.92,100,1779,
antiuav,drone,baseline,rgb,classifier,iou,all,3283,74,37,,0.978,0.9889,0.9834,188.7,1663,1779,
antiuav,drone,baseline,rgb,classifier→filter,iou,small,182,10,2,,0.9479,0.9891,0.9681,10.79,158,1779,
antiuav,drone,baseline,rgb,classifier→filter,iou,medium,2891,62,34,,0.979,0.9884,0.9837,165.99,1405,1779,
antiuav,drone,baseline,rgb,classifier→filter,iou,large,210,2,1,,0.9906,0.9953,0.9929,11.92,100,1779,
antiuav,drone,baseline,rgb,classifier→filter,iou,all,3283,74,37,,0.978,0.9889,0.9834,188.7,1663,1779,
antiuav,drone,baseline,rgb,temporal,iou,all,555,0,22,16,1.0,0.9619,0.9806,93.59,577,593,
antiuav,drone,baseline,rgb,temporal+alert_gate,iou,all,555,0,22,16,1.0,0.9619,0.9806,93.59,577,593,
antiuav,drone,ir_model,ir_native,ir_native,iou,small,29,2,4,,0.9355,0.8788,0.9062,1.74,33,1779,
antiuav,drone,ir_model,ir_native,ir_native,iou,medium,1515,32,95,,0.9793,0.941,0.9598,86.96,1610,1779,
antiuav,drone,ir_model,ir_native,ir_native,iou,large,110,1,2,,0.991,0.9821,0.9865,6.24,112,1779,
antiuav,drone,ir_model,ir_native,ir_native,iou,all,1654,35,101,,0.9793,0.9425,0.9605,94.94,1755,1779,
antiuav,drone,ir_model,ir_native,+ir_filter,iou,small,29,2,4,,0.9355,0.8788,0.9062,1.74,33,1779,
antiuav,drone,ir_model,ir_native,+ir_filter,iou,medium,1515,32,95,,0.9793,0.941,0.9598,86.96,1610,1779,
antiuav,drone,ir_model,ir_native,+ir_filter,iou,large,110,1,2,,0.991,0.9821,0.9865,6.24,112,1779,
