classifier,metric,antiuav,svanstrom,video_airplanes,video_birds,video_drone,video_helicopters,overall
lean10,n,100,100,25,25,25,25,300
lean10,acc,1.0000,0.9800,1.0000,1.0000,0.8800,0.9600,0.9800
lean10,f1_macro,1.0000,0.9566,1.0000,1.0000,0.8570,0.4898,0.9625
lean10,latency_ms_per_frame,,,,0.4463
lean13,n,100,100,25,25,25,25,300
lean13,acc,1.0000,0.9800,1.0000,1.0000,0.9200,1.0000,0.9867
lean13,f1_macro,1.0000,0.9566,1.0000,1.0000,0.8926,1.0000,0.9787
lean13,latency_ms_per_frame,,,,0.4787
lean17,n,100,100,25,25,25,25,300
lean17,acc,0.9900,0.9700,1.0000,1.0000,0.8800,1.0000,0.9767
lean17,f1_macro,0.9368,0.8702,1.0000,1.0000,0.8542,1.0000,0.9582
lean17,latency_ms_per_frame,,,,0.3923
lean19,n,100,100,25,25,25,25,300
lean19,acc,0.9900,0.9800,1.0000,1.0000,1.0000,1.0000,0.9900
lean19,f1_macro,0.9368,0.9566,1.0000,1.0000,1.0000,1.0000,0.9784
lean19,latency_ms_per_frame,,,,0.2826
32feat,n,100,100,25,25,25,25,300
32feat,acc,0.9900,0.9600,1.0000,1.0000,0.2800,1.0000,0.9233
32feat,f1_macro,0.9048,0.9012,1.0000,1.0000,0.4432,1.0000,0.8420
32feat,latency_ms_per_frame,,,,0.4588
40feat,n,100,100,25,25,25,25,300
40feat,acc,1.0000,0.9800,0.8400,0.9200,0.8000,0.9600,0.9533
40feat,f1_macro,1.0000,0.9892,0.3043,0.3194,0.7973,0.4898,0.9197
40feat,latency_ms_per_frame,,,,0.4006
