dataset,mode,stage,n,TP,FP,FN,P,R,F1
antiuav,any,S0_rgb_raw,1000,910,93,23,0.9072781655034895,0.9753483386923901,0.9400826446280991
antiuav,any,S0_ir_base,1000,923,22,62,0.9767195767195768,0.9370558375634518,0.9564766839378238
antiuav,any,S1_+temporal_rgb,1000,313,0,13,1.0,0.9601226993865031,0.9796557120500783
antiuav,argmax,S2_+classifier (production),1000,1825,104,93,0.9460860549507517,0.9515119916579771,0.9487912659214972
antiuav,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
antiuav,argmax,S2_+classifier_seg,1000,323,7,3,0.9787878787878788,0.99079754601227,0.9847560975609756
antiuav,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
antiuav,softveto,S2_+classifier,1000,966,93,952,0.9121813031161473,0.5036496350364964,0.6489754786698019
antiuav,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
antiuav,softveto,S2_+classifier_seg,1000,324,7,2,0.9788519637462235,0.9938650306748467,0.9863013698630138
antiuav,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
svanstrom,any,S0_rgb_raw,1000,391,530,29,0.4245385450597177,0.930952380952381,0.5831469052945564
svanstrom,any,S0_ir_base,1000,396,25,14,0.9406175771971497,0.9658536585365853,0.9530685920577617
svanstrom,any,S1_+temporal_rgb,1000,136,156,4,0.4657534246575342,0.9714285714285714,0.6296296296296297
svanstrom,argmax,S2_+classifier (production),1000,778,25,52,0.9688667496886675,0.9373493975903614,0.9528475199020208
svanstrom,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
svanstrom,argmax,S2_+classifier_seg,1000,139,0,1,1.0,0.9928571428571429,0.996415770609319
svanstrom,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
svanstrom,softveto,S2_+classifier,1000,415,27,415,0.9389140271493213,0.5,0.6525157232704403
svanstrom,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
svanstrom,softveto,S2_+classifier_seg,1000,139,3,1,0.9788732394366197,0.9928571428571429,0.9858156028368794
svanstrom,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
rgb_test,any,S0_rgb_raw,1000,789,39,61,0.9528985507246377,0.928235294117647,0.9404052443384983
rgb_test,any,S0_ir_base,1000,27,22,823,0.5510204081632653,0.03176470588235294,0.060066740823136816
rgb_test,any,S1_+temporal_rgb,1000,256,0,19,1.0,0.9309090909090909,0.9642184557438794
rgb_test,argmax,S2_+classifier,1000,237,35,613,0.8713235294117647,0.2788235294117647,0.4224598930481283
rgb_test,argmax,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
rgb_test,argmax,S2_+classifier_seg,1000,64,0,211,1.0,0.23272727272727273,0.3775811209439528
rgb_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
rgb_test,softveto,S2_+classifier (production),1000,451,17,399,0.9636752136752137,0.5305882352941177,0.6843702579666161
rgb_test,softveto,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
rgb_test,softveto,S2_+classifier_seg,1000,140,0,135,1.0,0.509090909090909,0.6746987951807228
rgb_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ir_test,any,S0_rgb_raw,1000,270,309,379,0.46632124352331605,0.41602465331278893,0.4397394136807818
ir_test,any,S0_ir_base,1000,601,7,48,0.9884868421052632,0.926040061633282,0.9562450278440732
ir_test,any,S1_+temporal_rgb,1000,133,13,98,0.910958904109589,0.5757575757575758,0.7055702917771883
ir_test,argmax,S2_+classifier (production),1000,547,444,102,0.5519677093844602,0.8428351309707242,0.6670731707317072
ir_test,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
ir_test,argmax,S2_+classifier_seg,1000,183,0,48,1.0,0.7922077922077922,0.8840579710144928
ir_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ir_test,softveto,S2_+classifier,1000,479,233,170,0.672752808988764,0.7380585516178737,0.7038941954445261
ir_test,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
ir_test,softveto,S2_+classifier_seg,1000,196,0,35,1.0,0.8484848484848485,0.9180327868852458
ir_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
