dataset,n_frames,scoring,stage,TP,FP,FN,P,R,F1
antiuav,1005,iou,rgb_only,921,59,17,0.9398,0.9819,0.9604
antiuav,1005,iou,rgb_filter,921,58,17,0.9408,0.9819,0.9609
antiuav,1005,iou,ir_native,928,22,62,0.9768,0.9374,0.9567
antiuav,1005,iou,ir_native_filter,928,22,62,0.9768,0.9374,0.9567
antiuav,1005,iou,ir_grayscale,19,14,919,0.5758,0.0203,0.0391
antiuav,1005,iou,ir_grayscale_filter,19,14,919,0.5758,0.0203,0.0391
antiuav,1005,iou,classifier_argmax,1846,70,18,0.9635,0.9903,0.9767
antiuav,1005,iou,classifier_argmax_filter,1846,69,18,0.964,0.9903,0.977
antiuav,1005,iou,softveto_0.5,980,60,12,0.9423,0.9879,0.9646
antiuav,1005,iou,softveto_0.5_filter,980,59,12,0.9432,0.9879,0.965
antiuav,1005,iou,softveto_0.7,980,60,12,0.9423,0.9879,0.9646
antiuav,1005,iou,softveto_0.7_filter,980,59,12,0.9432,0.9879,0.965
antiuav,1005,iou,softveto_0.85,980,60,12,0.9423,0.9879,0.9646
antiuav,1005,iou,softveto_0.85_filter,980,59,12,0.9432,0.9879,0.965
antiuav,1005,iou,softveto_0.95,980,60,12,0.9423,0.9879,0.9646
antiuav,1005,iou,softveto_0.95_filter,980,59,12,0.9432,0.9879,0.965
svanstrom,1026,iop,rgb_only,412,1099,8,0.2727,0.981,0.4267
svanstrom,1026,iop,rgb_filter,396,596,24,0.3992,0.9429,0.5609
svanstrom,1026,iop,ir_native,396,25,14,0.9406,0.9659,0.9531
svanstrom,1026,iop,ir_native_filter,389,24,21,0.9419,0.9488,0.9453
svanstrom,1026,iop,ir_grayscale,230,202,190,0.5324,0.5476,0.5399
svanstrom,1026,iop,ir_grayscale_filter,230,143,190,0.6166,0.5476,0.5801
svanstrom,1026,iop,classifier_argmax,806,185,14,0.8133,0.9829,0.8901
svanstrom,1026,iop,classifier_argmax_filter,783,149,37,0.8401,0.9549,0.8938
svanstrom,1026,iop,softveto_0.5,416,171,5,0.7087,0.9881,0.8254
svanstrom,1026,iop,softveto_0.5_filter,400,135,21,0.7477,0.9501,0.8368
svanstrom,1026,iop,softveto_0.7,416,173,5,0.7063,0.9881,0.8238
svanstrom,1026,iop,softveto_0.7_filter,400,136,21,0.7463,0.9501,0.8359
svanstrom,1026,iop,softveto_0.85,417,174,3,0.7056,0.9929,0.8249
svanstrom,1026,iop,softveto_0.85_filter,401,136,19,0.7467,0.9548,0.838
svanstrom,1026,iop,softveto_0.95,417,182,3,0.6962,0.9929,0.8184
svanstrom,1026,iop,softveto_0.95_filter,401,140,19,0.7412,0.9548,0.8345
drone_video_drone,1359,iop,rgb_only,647,556,587,0.5378,0.5243,0.531
drone_video_drone,1359,iop,rgb_filter,604,451,630,0.5725,0.4895,0.5277
drone_video_drone,1359,iop,ir_native,0,0,0,0.0,0.0,0.0
drone_video_drone,1359,iop,ir_native_filter,0,0,0,0.0,0.0,0.0
drone_video_drone,1359,iop,ir_grayscale,476,185,758,0.7201,0.3857,0.5024
drone_video_drone,1359,iop,ir_grayscale_filter,413,166,821,0.7133,0.3347,0.4556
drone_video_drone,1359,iop,classifier_argmax,598,678,636,0.4687,0.4846,0.4765
drone_video_drone,1359,iop,classifier_argmax_filter,526,575,708,0.4777,0.4263,0.4505
drone_video_drone,1359,iop,softveto_0.5,587,351,647,0.6258,0.4757,0.5405
drone_video_drone,1359,iop,softveto_0.5_filter,505,271,729,0.6508,0.4092,0.5025
drone_video_drone,1359,iop,softveto_0.7,618,387,616,0.6149,0.5008,0.552
drone_video_drone,1359,iop,softveto_0.7_filter,535,297,699,0.643,0.4335,0.5179
drone_video_drone,1359,iop,softveto_0.85,637,395,597,0.6172,0.5162,0.5622
drone_video_drone,1359,iop,softveto_0.85_filter,553,303,681,0.646,0.4481,0.5292
drone_video_drone,1359,iop,softveto_0.95,685,418,549,0.621,0.5551,0.5862
drone_video_drone,1359,iop,softveto_0.95_filter,595,322,639,0.6489,0.4822,0.5532
