dataset,n_frames,scoring,stage,TP,FP,FN,P,R,F1
drone_video_drone,1359,iop,rgb_only,967,342,267,0.7387,0.7836,0.7605
drone_video_drone,1359,iop,rgb_filter,813,271,421,0.75,0.6588,0.7015
drone_video_drone,1359,iop,ir_native,0,0,0,0.0,0.0,0.0
drone_video_drone,1359,iop,ir_native_filter,0,0,0,0.0,0.0,0.0
drone_video_drone,1359,iop,ir_grayscale,476,185,758,0.7201,0.3857,0.5024
drone_video_drone,1359,iop,ir_grayscale_filter,413,166,821,0.7133,0.3347,0.4556
drone_video_drone,1359,iop,classifier_argmax,736,754,498,0.494,0.5964,0.5404
drone_video_drone,1359,iop,classifier_argmax_filter,634,594,600,0.5163,0.5138,0.515
drone_video_drone,1359,iop,softveto_0.5,744,236,490,0.7592,0.6029,0.6721
drone_video_drone,1359,iop,softveto_0.5_filter,608,184,626,0.7677,0.4927,0.6002
drone_video_drone,1359,iop,softveto_0.7,803,252,431,0.7611,0.6507,0.7016
drone_video_drone,1359,iop,softveto_0.7_filter,660,194,574,0.7728,0.5348,0.6322
drone_video_drone,1359,iop,softveto_0.85,845,265,389,0.7613,0.6848,0.721
drone_video_drone,1359,iop,softveto_0.85_filter,700,207,534,0.7718,0.5673,0.6539
drone_video_drone,1359,iop,softveto_0.95,878,283,356,0.7562,0.7115,0.7332
drone_video_drone,1359,iop,softveto_0.95_filter,727,220,507,0.7677,0.5891,0.6667
drone_video_drone,1359,iop,softveto_0.99,935,330,299,0.7391,0.7577,0.7483
drone_video_drone,1359,iop,softveto_0.99_filter,779,263,455,0.7476,0.6313,0.6845
