dataset,category,model,modality,stage,scoring,size_bucket,TP,FP,FN,TN,P,R,F1,FR_pct,n_gt,n_frames,flag
svanstrom,drone,baseline,rgb,rgb,iop,small,31,1592,5,,0.0191,0.8611,0.0374,90.42,36,1795,
svanstrom,drone,baseline,rgb,rgb,iop,medium,663,363,17,,0.6462,0.975,0.7773,57.16,680,1795,
svanstrom,drone,baseline,rgb,rgb,iop,large,15,41,1,,0.2679,0.9375,0.4167,3.12,16,1795,
svanstrom,drone,baseline,rgb,rgb,iop,all,709,1996,23,,0.2621,0.9686,0.4126,150.7,732,1795,
svanstrom,drone,baseline,rgb,+rgb_filter,iop,small,29,917,7,,0.0307,0.8056,0.0591,52.7,36,1795,
svanstrom,drone,baseline,rgb,+rgb_filter,iop,medium,639,154,41,,0.8058,0.9397,0.8676,44.18,680,1795,
svanstrom,drone,baseline,rgb,+rgb_filter,iop,large,14,12,2,,0.5385,0.875,0.6667,1.45,16,1795,
svanstrom,drone,baseline,rgb,+rgb_filter,iop,all,682,1083,50,,0.3864,0.9317,0.5463,98.33,732,1795,
svanstrom,drone,baseline,rgb,classifier,iop,small,32,239,5,,0.1181,0.8649,0.2078,15.1,36,1795,
svanstrom,drone,baseline,rgb,classifier,iop,medium,1340,41,16,,0.9703,0.9882,0.9792,76.94,680,1795,
svanstrom,drone,baseline,rgb,classifier,iop,large,31,1,0,,0.9688,1.0,0.9841,1.78,16,1795,
svanstrom,drone,baseline,rgb,classifier,iop,all,1403,281,21,,0.8331,0.9853,0.9028,93.82,732,1795,
svanstrom,drone,baseline,rgb,classifier→filter,iop,small,30,180,7,,0.1429,0.8108,0.2429,11.7,36,1795,
svanstrom,drone,baseline,rgb,classifier→filter,iop,medium,1303,39,53,,0.9709,0.9609,0.9659,74.76,680,1795,
svanstrom,drone,baseline,rgb,classifier→filter,iop,large,30,1,1,,0.9677,0.9677,0.9677,1.73,16,1795,
svanstrom,drone,baseline,rgb,classifier→filter,iop,all,1363,220,61,,0.861,0.9572,0.9066,88.19,732,1795,
svanstrom,drone,baseline,rgb,temporal,iop,all,241,293,3,62,0.4513,0.9877,0.6195,89.15,244,599,
svanstrom,drone,baseline,rgb,temporal+alert_gate,iop,all,238,139,6,216,0.6313,0.9754,0.7665,62.94,244,599,
svanstrom,drone,ir_model,ir_native,ir_native,iop,small,1,0,1,,1.0,0.5,0.6667,0.06,2,1795,
svanstrom,drone,ir_model,ir_native,ir_native,iop,medium,679,36,18,,0.9497,0.9742,0.9618,39.83,697,1795,
svanstrom,drone,ir_model,ir_native,ir_native,iop,large,16,1,1,,0.9412,0.9412,0.9412,0.95,17,1795,
svanstrom,drone,ir_model,ir_native,ir_native,iop,all,696,37,20,,0.9495,0.9721,0.9607,40.84,716,1795,
svanstrom,drone,ir_model,ir_native,+ir_filter,iop,small,1,0,1,,1.0,0.5,0.6667,0.06,2,1795,
svanstrom,drone,ir_model,ir_native,+ir_filter,iop,medium,666,34,31,,0.9514,0.9555,0.9535,39.0,697,1795,
svanstrom,drone,ir_model,ir_native,+ir_filter,iop,large,16,1,1,,0.9412,0.9412,0.9412,0.95,17,1795,
svanstrom,drone,ir_model,ir_native,+ir_filter,iop,all,683,35,33,,0.9513,0.9539,0.9526,40.0,716,1795,
svanstrom,drone,ir_model,ir_native,temporal,iop,all,242,4,0,353,0.9837,1.0,0.9918,41.07,242,599,
svanstrom,drone,ir_model,ir_native,temporal+alert_gate,iop,all,242,3,0,354,0.9878,1.0,0.9938,40.9,242,599,
svanstrom,drone,retrained_v2,rgb,rgb,iop,small,16,643,20,,0.0243,0.4444,0.046,36.71,36,1795,
svanstrom,drone,retrained_v2,rgb,rgb,iop,medium,393,295,287,,0.5712,0.5779,0.5746,38.33,680,1795,
svanstrom,drone,retrained_v2,rgb,rgb,iop,large,16,511,0,,0.0304,1.0,0.0589,29.36,16,1795,
svanstrom,drone,retrained_v2,rgb,rgb,iop,all,425,1449,307,,0.2268,0.5806,0.3262,104.4,732,1795,
svanstrom,drone,retrained_v2,rgb,+rgb_filter,iop,small,16,485,20,,0.0319,0.4444,0.0596,27.91,36,1795,
svanstrom,drone,retrained_v2,rgb,+rgb_filter,iop,medium,389,223,291,,0.6356,0.5721,0.6022,34.09,680,1795,
svanstrom,drone,retrained_v2,rgb,+rgb_filter,iop,large,14,421,2,,0.0322,0.875,0.0621,24.23,16,1795,
