source,dataset,detector,stage,size_bucket,TP,FP,FN,n_gt,n_frames,precision,recall,f1,classifier
video_persize,video_drone_drone_and_bird_sky_and_trees_short,baseline_trained,S0_detector,small,10,24,39,49,114,0.2941,0.2041,0.241,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,baseline_trained,S0_detector,medium,54,15,12,66,114,0.7826,0.8182,0.8,
video_persize,video_drone_drone_and_bird_sky_and_trees_short,baseline_trained,S0_detector,large,0,0,0,0,114,0.0,0.0,0.0,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,baseline_trained,S0_detector,small,0,4,2,2,108,0.0,0.0,0.0,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,baseline_trained,S0_detector,medium,39,41,26,65,108,0.4875,0.6,0.5379,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,baseline_trained,S0_detector,large,20,5,1,21,108,0.8,0.9524,0.8696,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,baseline_trained,S0_detector,small,0,0,0,0,68,0.0,0.0,0.0,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,baseline_trained,S0_detector,medium,0,2,0,0,68,0.0,0.0,0.0,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,baseline_trained,S0_detector,large,25,2,43,68,68,0.9259,0.3676,0.5263,
video_persize,video_drone_drone_seagull_attack,baseline_trained,S0_detector,small,0,9,0,0,235,0.0,0.0,0.0,
video_persize,video_drone_drone_seagull_attack,baseline_trained,S0_detector,medium,17,20,1,18,235,0.4595,0.9444,0.6182,
video_persize,video_drone_drone_seagull_attack,baseline_trained,S0_detector,large,126,1,50,176,235,0.9921,0.7159,0.8317,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,baseline_trained,S0_detector,small,14,2,2,16,163,0.875,0.875,0.875,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,baseline_trained,S0_detector,medium,44,0,0,44,163,1.0,1.0,1.0,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,baseline_trained,S0_detector,large,88,5,6,94,163,0.9462,0.9362,0.9412,
video_persize,video_drone_drone_takeoff_short,baseline_trained,S0_detector,small,2,1,8,10,116,0.6667,0.2,0.3077,
video_persize,video_drone_drone_takeoff_short,baseline_trained,S0_detector,medium,47,0,3,50,116,1.0,0.94,0.9691,
video_persize,video_drone_drone_takeoff_short,baseline_trained,S0_detector,large,48,0,8,56,116,1.0,0.8571,0.9231,
