id,date,target,config_id,precision,recall,f1,fpr,halluc_rate,latency_ms,extra,cache_path,source_script,ledger_ids
rgb_svan_baseline,2026-05-30,baseline,svan_iop_1280,0.940,0.961,0.950,,,,"S1 RGB-alone, full 28710 §7",eval/results/_failure_diagnosis/svanstrom_1280_by_category.csv,eval/diagnose_failures.py,
rgb_svan_hardneg,2026-05-30,hardneg_v3more,svan_iop_1280,0.941,0.950,0.946,,,,det rate 95.7% §3.1,eval/results/_failure_diagnosis/svanstrom_1280_by_category.csv,eval/diagnose_failures_all.py,
rgb_svan_retrainedv2,2026-05-30,retrained_v2,svan_iop_1280,0.943,0.306,0.462,,,,det rate 30.8%; recall collapse §3.1,eval/results/_failure_diagnosis/svanstrom_1280_by_category.csv,eval/diagnose_failures_all.py,
rgb_antiuav_baseline,2026-05-30,baseline,antiuav_iou_1280_s5,0.9922,0.9950,0.9936,,,,TP3178 FP25 FN16 §3.2,eval/results/_ablation/2026-05-18T22-48-19/master.csv,eval/ablate.py,
rgb_antiuav_retrainedv2,2026-05-30,retrained_v2,antiuav_iou_1280_s5,0.9922,0.9950,0.9936,,,,identical to baseline; AntiUAV saturated §3.2,eval/results/_ablation/2026-05-18T22-48-19/master.csv,eval/ablate.py,
selcom_baseline_1280,2026-05-30,baseline,selcom_iop_1280,0.413,0.088,0.145,,,,pre-finetune baseline §3.4,runs/rgb_finetune_eval/Yolo26n_selcom_mixed_ft2_1280/comparison.json,training/finetune_selcom.py,
selcom_ft2_1280,2026-05-30,selcom_mixed_ft2_1280,selcom_iop_1280,0.762,0.468,0.580,,,,CCTV prod weights §3.4,runs/rgb_finetune_eval/Yolo26n_selcom_mixed_ft2_1280/comparison.json,training/finetune_selcom.py,
selcom_ft3_1280,2026-05-30,selcom_mixed_ft3_1280,selcom_iop_1280,0.847,0.488,0.619,,,,candidate; +3.4pp F1 vs ft2 §3.4,runs/rgb_finetune_eval/compare_selcom_ft2_vs_ft3/Yolo26n_selcom_mixed_ft3_1280.json,training/compare_selcom_ft.py,
ir_final_final,2026-05-30,ir_final,ir_final_640,0.955,0.980,0.967,,,,mAP50=0.977 §4.1,eval/results/ir_version_comparison/ir_comparison_test_640_2026-05-16T20-04-39.csv,eval/ir_version_comparison.py,
ir_final_v3b,2026-05-30,ir_v3b,ir_final_640,0.957,0.977,0.967,,,,mAP50=0.972; production §4.1,eval/results/ir_version_comparison/ir_comparison_test_640_2026-05-16T20-04-39.csv,eval/ir_version_comparison.py,
ir_final_v4,2026-05-30,ir_v4,ir_final_640,0.895,0.669,0.765,,,,superseded §4.1,eval/results/ir_version_comparison/ir_comparison_test_640_2026-05-16T20-04-39.csv,eval/ir_version_comparison.py,
v5_svan_bare,2026-05-30,ft4,svan_iop_1280_s9,0.4425,0.9140,0.5963,,0.4699,,bare FT4 §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_svan_patch,2026-05-30,patch_v2,svan_iop_1280_s9,0.6858,0.8717,0.7677,,0.1630,,FT4+patch_v2 @0.5 §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_svan_mlp,2026-05-30,mlp_v5,svan_iop_1280_s9,0.9031,0.8379,0.8693,,0.0367,,FT4+V5 @0.5; CANDIDATE not signed off; v5.2 train/eval in progress §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_antiuav_bare,2026-05-30,ft4,antiuav_iou_640_s5,0.9881,0.9836,0.9859,,0.0111,,bare FT4 §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_antiuav_patch,2026-05-30,patch_v2,antiuav_iou_640_s5,0.9881,0.9836,0.9859,,0.0111,,=bare §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_antiuav_mlp,2026-05-30,mlp_v5,antiuav_iou_640_s5,0.9894,0.9811,0.9853,,0.0098,,ties §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_selcom_bare,2026-05-30,ft4,selcom_iop_1280,0.8581,0.4508,0.5911,,0.0707,,bare FT4 §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_selcom_patch,2026-05-30,patch_v2,selcom_iop_1280,0.8581,0.4508,0.5911,,0.0707,,=bare (no CCTV exposure) §13.3,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_selcom_mlp,2026-05-30,mlp_v5,selcom_iop_1280,0.9562,0.4441,0.6065,,0.0193,,+1.5pp vs bare §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
v5_rgbds_bare,2026-05-30,ft4,rgb_dataset_iou_640,0.9650,0.8956,0.9290,,0.0276,,bare FT4 §13.1,eval/results/_v5_head_to_head_pure_1x8/comparison.md,eval/eval_v4_vs_patch.py,
