epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.114,2.02711,1.73833,0.007,0.70492,0.61465,0.66656,0.2777,1.88733,1.72401,0.00585,0.000333185,0.000333185,0.0670147
2,933.424,1.91145,1.17845,0.00644,0.77062,0.74641,0.81754,0.41016,1.63238,2.92864,0.0049,0.000657092,0.000657092,0.0340053
3,1392.82,1.84727,1.03713,0.00617,0.8685,0.82235,0.90336,0.47048,1.55871,1.07614,0.00407,0.00097157,0.00097157,0.000986411
4,1851.51,1.78978,0.92772,0.00586,0.8691,0.87303,0.92623,0.5,1.51513,0.80352,0.00401,0.000957571,0.000957571,0.000957571
5,2306.54,1.73752,0.844,0.00561,0.88589,0.89793,0.93921,0.51764,1.47599,0.84209,0.00407,0.000943429,0.000943429,0.000943429
6,2762.54,1.69128,0.78977,0.0054,0.88505,0.91802,0.94678,0.5335,1.436,0.78931,0.00382,0.000929286,0.000929286,0.000929286
7,3223.12,1.66663,0.7377,0.00528,0.89172,0.93255,0.94962,0.53933,1.43893,0.74992,0.00384,0.000915143,0.000915143,0.000915143
8,3688.1,1.63302,0.72041,0.00515,0.89996,0.93419,0.95344,0.54482,1.42911,0.73398,0.00376,0.000901,0.000901,0.000901
9,4152.2,1.61308,0.69164,0.00503,0.89878,0.93801,0.95387,0.54663,1.42612,0.72294,0.00376,0.000886857,0.000886857,0.000886857
10,4615.53,1.59121,0.66037,0.00492,0.90066,0.93908,0.95419,0.54939,1.42915,0.70806,0.00374,0.000872714,0.000872714,0.000872714
11,5079.75,1.57454,0.64139,0.00487,0.90687,0.93935,0.95517,0.55168,1.42267,0.69311,0.00373,0.000858571,0.000858571,0.000858571
12,5543.54,1.55596,0.62275,0.00476,0.90774,0.9368,0.95441,0.55253,1.41433,0.68141,0.00371,0.000844429,0.000844429,0.000844429
13,6008.79,1.54719,0.60304,0.00471,0.90819,0.94311,0.95437,0.55338,1.41768,0.66329,0.00374,0.000830286,0.000830286,0.000830286
14,6471.43,1.53004,0.59003,0.00465,0.91422,0.94378,0.95549,0.55407,1.41831,0.65354,0.00373,0.000816143,0.000816143,0.000816143
15,6933.64,1.51669,0.57895,0.0046,0.91363,0.94531,0.95593,0.55501,1.42067,0.64195,0.00373,0.000802,0.000802,0.000802
16,7399.36,1.50766,0.5609,0.00456,0.91546,0.94581,0.95675,0.5544,1.41858,0.6266,0.0037,0.000787857,0.000787857,0.000787857
17,7865.79,1.50009,0.56286,0.00454,0.9164,0.94942,0.95626,0.55518,1.41853,0.61743,0.0037,0.000773714,0.000773714,0.000773714
18,8329.56,1.48378,0.54859,0.0045,0.91893,0.95009,0.95703,0.55672,1.41329,0.6142,0.00367,0.000759571,0.000759571,0.000759571
19,8796.44,1.47338,0.53529,0.00444,0.92096,0.95215,0.95749,0.55858,1.40772,0.6088,0.00365,0.000745429,0.000745429,0.000745429
20,9262.57,1.46483,0.52631,0.00439,0.92115,0.95197,0.95569,0.55926,1.40792,0.60151,0.00368,0.000731286,0.000731286,0.000731286
21,9725.92,1.45268,0.51471,0.00435,0.91974,0.95384,0.95465,0.55942,1.41095,0.599,0.00364,0.000717143,0.000717143,0.000717143
22,10190.6,1.44475,0.50711,0.00429,0.91786,0.95653,0.95216,0.55973,1.40819,0.59697,0.00361,0.000703,0.000703,0.000703
23,10655.6,1.43171,0.50081,0.00427,0.91944,0.95465,0.95166,0.55898,1.40785,0.5996,0.00363,0.000688857,0.000688857,0.000688857
24,11122.1,1.43094,0.50265,0.00424,0.9185,0.95416,0.95049,0.55797,1.41398,0.58958,0.00364,0.000674714,0.000674714,0.000674714
25,11585,1.41745,0.49163,0.00421,0.91931,0.95689,0.95029,0.55594,1.41247,0.58791,0.00362,0.000660571,0.000660571,0.000660571
26,12047.4,1.41069,0.48814,0.00419,0.92305,0.95599,0.94936,0.55614,1.41689,0.5847,0.00363,0.000646429,0.000646429,0.000646429
27,12510.5,1.39885,0.48307,0.00413,0.9207,0.95496,0.94775,0.554,1.41851,0.58413,0.00362,0.000632286,0.000632286,0.000632286
28,12974.5,1.39155,0.47729,0.0041,0.92116,0.95411,0.94704,0.55247,1.41869,0.58535,0.00362,0.000618143,0.000618143,0.000618143
29,13438.7,1.38527,0.46962,0.00406,0.9202,0.95314,0.94601,0.55174,1.41847,0.58145,0.00362,0.000604,0.000604,0.000604
30,13902.5,1.37516,0.46697,0.00404,0.91644,0.95586,0.94497,0.54913,1.42193,0.58361,0.00364,0.000589857,0.000589857,0.000589857
31,14366.4,1.37159,0.46305,0.00403,0.9166,0.95558,0.94487,0.54964,1.42227,0.58585,0.00366,0.000575714,0.000575714,0.000575714
32,14829.6,1.36502,0.45751,0.00399,0.91695,0.95626,0.94326,0.54795,1.42307,0.5821,0.00367,0.000561571,0.000561571,0.000561571
33,15294,1.35267,0.44841,0.00395,0.91637,0.95519,0.94036,0.54655,1.42618,0.58041,0.00368,0.000547429,0.000547429,0.000547429
34,15759.8,1.34709,0.44592,0.0039,0.917,0.95371,0.93978,0.54622,1.4299,0.58209,0.00367,0.000533286,0.000533286,0.000533286
35,16222.6,1.34249,0.44619,0.00392,0.91551,0.95233,0.93703,0.54453,1.42798,0.57824,0.00367,0.000519143,0.000519143,0.000519143
36,16686.9,1.33481,0.43861,0.00386,0.91576,0.95223,0.93503,0.54277,1.43172,0.57097,0.00369,0.000505,0.000505,0.000505
37,17153.1,1.32746,0.43403,0.00386,0.91384,0.95343,0.93372,0.54228,1.43548,0.56936,0.00369,0.000490857,0.000490857,0.000490857
38,17615.2,1.32354,0.43015,0.00382,0.91545,0.95237,0.93443,0.54199,1.43608,0.56674,0.00371,0.000476714,0.000476714,0.000476714
39,18080.3,1.3153,0.42787,0.00376,0.91559,0.94794,0.93201,0.53936,1.44097,0.56322,0.00373,0.000462571,0.000462571,0.000462571
40,18542.2,1.31032,0.4255,0.0038,0.91421,0.94933,0.93013,0.53804,1.44249,0.56027,0.00373,0.000448429,0.000448429,0.000448429
41,19006.1,1.3049,0.42068,0.00375,0.9136,0.94875,0.9287,0.53711,1.44563,0.5593,0.00375,0.000434286,0.000434286,0.000434286
