epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,704.37,2.00014,1.38047,0.00439,0.71102,0.66574,0.6926,0.33631,1.68646,7.04011,0.00414,0.000333225,0.000333225,0.0670108
2,1471.64,1.91524,1.00254,0.00418,0.86993,0.76334,0.82673,0.45368,1.54472,0.96317,0.0037,0.000657131,0.000657131,0.0340013
3,2132.56,1.8578,0.91522,0.00399,0.90041,0.82077,0.8794,0.49901,1.44818,0.83456,0.00338,0.000971609,0.000971609,0.000982488
4,2805.75,1.79366,0.84809,0.00379,0.91607,0.85283,0.89516,0.52293,1.40843,0.63348,0.0032,0.000957571,0.000957571,0.000957571
5,3443.13,1.74753,0.79818,0.00362,0.92593,0.86235,0.90156,0.53491,1.37901,0.62002,0.00309,0.000943429,0.000943429,0.000943429
6,4084.09,1.7149,0.76317,0.00352,0.93245,0.86623,0.90769,0.54115,1.36566,0.60368,0.00304,0.000929286,0.000929286,0.000929286
7,4764.31,1.68904,0.73628,0.00345,0.93313,0.87104,0.91048,0.54541,1.35607,0.58757,0.00302,0.000915143,0.000915143,0.000915143
8,5488.23,1.67129,0.71466,0.00338,0.93935,0.87021,0.91254,0.54979,1.34722,0.576,0.003,0.000901,0.000901,0.000901
9,6138.74,1.64916,0.69411,0.00334,0.94242,0.87307,0.91481,0.55323,1.33804,0.55868,0.00297,0.000886857,0.000886857,0.000886857
10,6780.55,1.63162,0.67328,0.00328,0.94475,0.87442,0.91636,0.55597,1.32899,0.54433,0.00294,0.000872714,0.000872714,0.000872714
11,7426.93,1.61899,0.65836,0.00323,0.94884,0.87762,0.91894,0.56022,1.32238,0.53113,0.00292,0.000858571,0.000858571,0.000858571
12,8067.36,1.60455,0.64612,0.00318,0.95029,0.88099,0.9205,0.56522,1.3134,0.51956,0.00289,0.000844429,0.000844429,0.000844429
13,8737.29,1.5902,0.63328,0.00315,0.95197,0.88282,0.92217,0.5683,1.30171,0.50664,0.00285,0.000830286,0.000830286,0.000830286
14,9375.08,1.57847,0.621,0.00312,0.95571,0.88573,0.92393,0.57236,1.28996,0.49585,0.00282,0.000816143,0.000816143,0.000816143
15,10011.4,1.56893,0.6095,0.00309,0.95857,0.8897,0.92571,0.57583,1.27969,0.48654,0.00279,0.000802,0.000802,0.000802
16,10677.7,1.5589,0.60421,0.00306,0.961,0.89087,0.92803,0.57999,1.27021,0.47436,0.00276,0.000787857,0.000787857,0.000787857
17,11324.6,1.55363,0.5954,0.00304,0.9638,0.89534,0.92911,0.58279,1.26159,0.46497,0.00273,0.000773714,0.000773714,0.000773714
18,11966.2,1.54308,0.58694,0.00301,0.96142,0.89749,0.9325,0.58718,1.25286,0.45751,0.0027,0.000759571,0.000759571,0.000759571
19,12619.8,1.53619,0.58725,0.00299,0.96419,0.89907,0.93383,0.5898,1.24635,0.44963,0.00268,0.000745429,0.000745429,0.000745429
20,13302.5,1.52504,0.57624,0.00295,0.96698,0.89974,0.93543,0.59291,1.23751,0.44484,0.00266,0.000731286,0.000731286,0.000731286
21,13951.2,1.52119,0.57225,0.00294,0.96736,0.89243,0.92629,0.58761,1.23364,0.48378,0.0027,0.000717143,0.000717143,0.000717143
22,14611.1,1.50948,0.56111,0.00291,0.96797,0.89394,0.9266,0.58851,1.24015,0.47265,0.00301,0.000703,0.000703,0.000703
23,15261.8,1.5004,0.56099,0.00289,0.96955,0.89426,0.92762,0.59117,1.2333,0.46847,0.00295,0.000688857,0.000688857,0.000688857
24,15909.3,1.49606,0.55199,0.00289,0.96698,0.89817,0.92861,0.59267,1.21947,0.47433,0.00273,0.000674714,0.000674714,0.000674714
25,16549.1,1.48816,0.54858,0.00286,0.96846,0.89832,0.92907,0.59425,1.21537,0.46995,0.00272,0.000660571,0.000660571,0.000660571
26,17191.8,1.47884,0.54446,0.00284,0.97138,0.89825,0.92978,0.59661,1.21169,0.4725,0.00272,0.000646429,0.000646429,0.000646429
27,17830.1,1.473,0.5387,0.00283,0.96937,0.89979,0.9304,0.5979,1.20529,0.46749,0.00265,0.000632286,0.000632286,0.000632286
28,18455,1.4702,0.53382,0.00282,0.97034,0.90144,0.93381,0.60128,1.1986,0.45831,0.00259,0.000618143,0.000618143,0.000618143
29,19089.2,1.46223,0.53125,0.0028,0.97169,0.90502,0.93879,0.60644,1.19195,0.43445,0.00256,0.000604,0.000604,0.000604
30,19790.2,1.45468,0.52706,0.00277,0.97102,0.90739,0.94094,0.61053,1.18522,0.42551,0.00255,0.000589857,0.000589857,0.000589857
31,20419.7,1.447,0.52364,0.00277,0.96937,0.91041,0.94184,0.61223,1.18147,0.41893,0.00255,0.000575714,0.000575714,0.000575714
32,21062.9,1.444,0.52539,0.00276,0.97146,0.91262,0.94225,0.61431,1.17635,0.41528,0.00253,0.000561571,0.000561571,0.000561571
33,21714.8,1.43709,0.52037,0.00275,0.96997,0.91409,0.94334,0.61663,1.17395,0.41128,0.00252,0.000547429,0.000547429,0.000547429
34,22374.8,1.43304,0.51514,0.00275,0.97158,0.91579,0.94451,0.61875,1.16933,0.40452,0.00251,0.000533286,0.000533286,0.000533286
35,23014.8,1.4295,0.51022,0.0027,0.97235,0.9165,0.94732,0.62029,1.16602,0.4031,0.00251,0.000519143,0.000519143,0.000519143
36,23661.2,1.42152,0.50908,0.00269,0.97187,0.91931,0.94795,0.62188,1.16008,0.40374,0.00249,0.000505,0.000505,0.000505
37,24304.7,1.41587,0.50367,0.00267,0.97202,0.91959,0.94785,0.62286,1.15819,0.40136,0.00249,0.000490857,0.000490857,0.000490857
38,24949.1,1.4123,0.5049,0.00267,0.97449,0.91667,0.9479,0.62418,1.1541,0.40107,0.00248,0.000476714,0.000476714,0.000476714
39,25606.1,1.41053,0.50231,0.00266,0.97414,0.91788,0.9479,0.6253,1.15046,0.40067,0.00247,0.000462571,0.000462571,0.000462571
40,26255.8,1.40259,0.49814,0.00265,0.97488,0.91432,0.94523,0.62412,1.1458,0.40275,0.00247,0.000448429,0.000448429,0.000448429
41,26905.2,1.3993,0.49797,0.00265,0.97412,0.90963,0.94202,0.62189,1.14209,0.41454,0.00246,0.000434286,0.000434286,0.000434286
42,27545.3,1.39496,0.49394,0.00263,0.97255,0.91145,0.94404,0.62327,1.1383,0.40915,0.00245,0.000420143,0.000420143,0.000420143
43,28198.1,1.38753,0.48993,0.00262,0.97252,0.91396,0.94664,0.62569,1.13628,0.40539,0.00245,0.000406,0.000406,0.000406
44,28836,1.38404,0.48974,0.0026,0.97299,0.91447,0.94777,0.62723,1.13361,0.40192,0.00244,0.000391857,0.000391857,0.000391857
45,29473.2,1.38211,0.48753,0.00259,0.97212,0.92012,0.95012,0.63063,1.13165,0.39111,0.00243,0.000377714,0.000377714,0.000377714
46,30122.7,1.37546,0.4852,0.00258,0.97334,0.92107,0.95073,0.63348,1.12768,0.38875,0.00242,0.000363571,0.000363571,0.000363571
47,30762.1,1.37032,0.48069,0.00257,0.97424,0.92177,0.95109,0.63433,1.12531,0.389,0.00242,0.000349429,0.000349429,0.000349429
48,31409.1,1.36429,0.47956,0.00257,0.97588,0.92134,0.95148,0.63514,1.12503,0.387,0.00242,0.000335286,0.000335286,0.000335286
49,32049,1.36223,0.48143,0.00255,0.97545,0.92242,0.95121,0.6357,1.12255,0.38544,0.00242,0.000321143,0.000321143,0.000321143
50,32695.4,1.3567,0.47592,0.00254,0.97473,0.9219,0.95127,0.63647,1.12067,0.38529,0.00241,0.000307,0.000307,0.000307
51,33335.1,1.31098,0.44405,0.00256,0.97646,0.92123,0.95087,0.63763,1.11735,0.38319,0.0024,0.000292857,0.000292857,0.000292857
52,33980.6,1.30596,0.43938,0.00255,0.97533,0.9233,0.95134,0.63843,1.11476,0.38223,0.0024,0.000278714,0.000278714,0.000278714
53,34622.8,1.29899,0.43492,0.00253,0.97453,0.92438,0.95136,0.63913,1.1145,0.38417,0.0024,0.000264571,0.000264571,0.000264571
54,35281.6,1.29498,0.43115,0.00253,0.97501,0.92455,0.95158,0.64009,1.11343,0.39296,0.00239,0.000250429,0.000250429,0.000250429
55,35937.6,1.28853,0.43091,0.00251,0.97642,0.92496,0.95083,0.64008,1.1115,0.43048,0.00239,0.000236286,0.000236286,0.000236286
56,36629.2,1.28517,0.42629,0.00251,0.97476,0.92635,0.95002,0.64036,1.10886,0.53195,0.00239,0.000222143,0.000222143,0.000222143
57,37301.2,1.27945,0.42886,0.00248,0.97539,0.92635,0.94957,0.64067,1.10696,0.61957,0.00238,0.000208,0.000208,0.000208
58,37960.9,1.27369,0.4234,0.00248,0.97607,0.92553,0.94909,0.64073,1.10423,0.76201,0.00238,0.000193857,0.000193857,0.000193857
59,38608.9,1.27158,0.42396,0.00247,0.97608,0.92526,0.94942,0.6411,1.10355,0.75299,0.00237,0.000179714,0.000179714,0.000179714
60,39253.9,1.26805,0.4205,0.00246,0.97712,0.92515,0.94911,0.64166,1.10075,0.69322,0.00237,0.000165571,0.000165571,0.000165571
61,39888,1.26157,0.42044,0.00244,0.9771,0.92452,0.94929,0.64257,1.09938,0.6603,0.00237,0.000151429,0.000151429,0.000151429
62,40530.5,1.25761,0.41806,0.00243,0.97684,0.92524,0.94981,0.64395,1.09565,0.53926,0.00236,0.000137286,0.000137286,0.000137286
63,41188.5,1.25422,0.41458,0.00242,0.97573,0.92539,0.95123,0.64503,1.0951,0.45538,0.00236,0.000123143,0.000123143,0.000123143
64,41840.3,1.2511,0.41305,0.00241,0.9756,0.92614,0.952,0.6456,1.09379,0.40782,0.00235,0.000109,0.000109,0.000109
65,42498.4,1.24659,0.4113,0.0024,0.97649,0.92608,0.95259,0.64651,1.09181,0.39334,0.00235,9.48571e-05,9.48571e-05,9.48571e-05
66,43152.5,1.24297,0.41012,0.0024,0.97562,0.92637,0.95306,0.64709,1.09121,0.38489,0.00235,8.07143e-05,8.07143e-05,8.07143e-05
67,43807.9,1.23919,0.40965,0.00239,0.97552,0.92669,0.95312,0.64736,1.08935,0.3831,0.00234,6.65714e-05,6.65714e-05,6.65714e-05
68,44467.2,1.23576,0.40877,0.00237,0.97767,0.92492,0.95311,0.64832,1.08939,0.3821,0.00234,5.24286e-05,5.24286e-05,5.24286e-05
