epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3023,2.62188,2.42342,0.00483,0.60253,0.56238,0.54896,0.24723,1.99646,1.53685,0.00488,3.28829e-05,3.28829e-05,0.06715
2,129.275,2.10253,1.26584,0.00387,0.81556,0.71324,0.76241,0.42158,1.70395,1.46429,0.00362,6.4612e-05,6.4612e-05,0.0338484
3,213.739,2.04704,1.16399,0.00363,0.89971,0.72348,0.77268,0.42687,1.74537,1.51188,0.00355,9.01385e-05,9.01385e-05,0.000540589
4,295.084,1.9491,1.1649,0.00356,0.88845,0.70968,0.77202,0.43561,1.74148,1.5389,0.00352,7.95954e-05,7.95954e-05,7.95954e-05
5,375.682,1.99281,1.13096,0.00359,0.89988,0.72488,0.77578,0.43497,1.73933,1.55222,0.00354,6.57963e-05,6.57963e-05,6.57963e-05
6,405.198,1.91303,1.06057,0.00324,0.82185,0.75806,0.7906,0.44126,1.72422,1.49776,0.00354,5.05e-05,5.05e-05,5.05e-05
7,438.01,1.9452,1.06905,0.00339,0.82092,0.75806,0.79137,0.44181,1.71073,1.51457,0.00347,3.52037e-05,3.52037e-05,3.52037e-05
8,469.628,1.86583,1.06724,0.00332,0.80938,0.75806,0.79057,0.44688,1.696,1.50879,0.00348,2.14046e-05,2.14046e-05,2.14046e-05
9,532.001,1.91982,1.12202,0.00341,0.80342,0.75806,0.79137,0.44585,1.69275,1.48868,0.00349,1.04537e-05,1.04537e-05,1.04537e-05
10,563.272,1.86784,1.11092,0.00319,0.84909,0.726,0.7887,0.44556,1.6969,1.51856,0.00347,3.4227e-06,3.4227e-06,3.4227e-06
