epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.011,1.69843,0.70435,0.00357,0.76117,0.67102,0.68104,0.36583,1.58431,1.67018,0.00347,3.32425e-06,3.32425e-06,0.0667608
2,683.991,1.54946,0.59687,0.00317,0.82491,0.68421,0.71543,0.4087,1.5317,1.40963,0.00331,6.49629e-06,6.49629e-06,0.0334307
3,992.039,1.44765,0.57815,0.00294,0.89058,0.68421,0.74835,0.42856,1.51941,1.36117,0.00315,9.04641e-06,9.04641e-06,9.98729e-05
4,1315.57,1.39418,0.55887,0.00278,0.83233,0.69678,0.74209,0.42601,1.50428,1.39585,0.00315,7.95954e-06,7.95954e-06,7.95954e-06
5,1657.9,1.40467,0.55307,0.00278,0.90477,0.68421,0.74703,0.42093,1.53106,1.37368,0.00318,6.57963e-06,6.57963e-06,6.57963e-06
6,1975.29,1.39306,0.55445,0.00279,0.90431,0.66322,0.7478,0.43106,1.50967,1.3767,0.00314,5.05e-06,5.05e-06,5.05e-06
7,2321.19,1.42244,0.57483,0.00286,0.88418,0.66667,0.74845,0.43204,1.50383,1.37164,0.00317,3.52037e-06,3.52037e-06,3.52037e-06
8,2665.96,1.40197,0.54952,0.00273,0.89158,0.68421,0.75139,0.423,1.51897,1.39632,0.00317,2.14046e-06,2.14046e-06,2.14046e-06
9,3022.54,1.41274,0.55275,0.00287,0.88631,0.68421,0.75125,0.43655,1.49918,1.36327,0.00317,1.04537e-06,1.04537e-06,1.04537e-06
10,3322,1.40963,0.55578,0.00281,0.87764,0.66667,0.74581,0.43136,1.50178,1.37731,0.00316,3.4227e-07,3.4227e-07,3.4227e-07
