epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1040.71,1.82153,0.94362,0.00391,0.00174,0.54915,0.00135,0.00064,2.0427,777.045,0.00402,3.33031e-06,3.33031e-06,0.0667002
2,2095.96,1.67715,0.82584,0.00353,0.71625,0.60678,0.64146,0.28482,1.98877,1.64191,0.00385,6.50221e-06,6.50221e-06,0.03337
3,3366.8,1.59149,0.7617,0.00327,0.72062,0.58644,0.63827,0.28606,1.98209,1.59688,0.0039,9.0519e-06,9.0519e-06,3.92451e-05
4,4487.68,1.56605,0.73553,0.00316,0.71607,0.58989,0.63974,0.28998,1.97957,1.60514,0.00389,7.95954e-06,7.95954e-06,7.95954e-06
5,5684.92,1.55895,0.73958,0.00318,0.73163,0.58983,0.64735,0.29309,1.97292,1.59394,0.0039,6.57963e-06,6.57963e-06,6.57963e-06
6,6870.79,1.55067,0.74769,0.00315,0.71062,0.59661,0.64861,0.29531,1.96642,1.58492,0.00387,5.05e-06,5.05e-06,5.05e-06
7,8031.59,1.54935,0.7357,0.00311,0.7322,0.58983,0.64916,0.29482,1.94572,1.6128,0.00381,3.52037e-06,3.52037e-06,3.52037e-06
8,9094.92,1.55608,0.73757,0.00313,0.73381,0.58871,0.64764,0.29336,1.97565,1.57515,0.00386,2.14046e-06,2.14046e-06,2.14046e-06
9,10214.3,1.55644,0.72421,0.00318,0.73177,0.58983,0.65026,0.29681,1.96552,1.57465,0.00384,1.04537e-06,1.04537e-06,1.04537e-06
10,11275.7,1.55313,0.73183,0.00321,0.7302,0.58983,0.64793,0.29503,1.96318,1.5973,0.00384,3.4227e-07,3.4227e-07,3.4227e-07
