feature,auroc_thermal,auroc_grayscale,auroc_drop,auroc_trust_rgb,auroc_trust_ir,gray_thermal_zshift,in_robust6
rgb_max_conf,0.7489983,0.90525806,-0.15625978,0.52983403,0.97701675,1.5403601492743195,True
ir_max_conf,0.97277373,0.52504504,0.4477287,0.8296088,0.5510933,1.5951402265132988,True
rgb_best_log_bbox_area,0.81544507,0.8403034,-0.024858356,0.6184806,0.96778387,1.1574609174214325,True
ir_best_log_bbox_area,0.97181,0.5163293,0.4554807,0.80695796,0.5319557,1.432565902221937,True
rgb_best_aspect_ratio,0.7817268,0.80042773,-0.018700957,0.5869261,0.9663364,0.902283355664384,True
ir_best_aspect_ratio,0.9702595,0.5162526,0.4540069,0.7796203,0.5979078,1.3114357319445584,True
rgb_best_pos_y,0.55237085,0.7851958,-0.23282498,0.53797424,0.9619745,1.2486927456798245,False
ir_best_pos_y,0.9667588,0.5085987,0.4581601,0.78448206,0.67899466,1.482728374046541,False
rgb_best_local_contrast,0.6367181,0.8038183,-0.16710019,0.5771474,0.53305197,0.127910146579646,False
ir_best_local_contrast,0.90431,0.8732875,0.03102249,0.7834223,0.51704043,1.3106642411854073,False
rgb_img_mean,0.73731923,0.55967957,0.17763966,0.5236383,0.59992063,0.5710952307447681,False
ir_img_mean,0.5666686,0.55967957,0.006989062,0.5123357,0.5311799,1.5817181097181707,False
rgb_img_std,0.6369596,0.6550402,-0.018080592,0.6995714,0.6197987,0.6709135891215504,False
rgb_best_pos_x,0.56778777,0.8299541,-0.26216632,0.52756387,0.96101785,1.2226050952894238,False
ir_best_pos_x,0.9677916,0.51645064,0.45134097,0.76232606,0.7076348,1.4057166260187415,False
rgb_best_dist_to_center,0.51882476,0.7969872,-0.27816242,0.64829135,0.9594964,0.38879074369994526,False
ir_best_dist_to_center,0.96315557,0.51677555,0.44638002,0.73998713,0.7732508,0.9578116157315403,False
rgb_best_target_bg_delta,0.6057319,0.83870983,-0.23297793,0.561639,0.5323785,0.3495681579134443,False
