image_path,category,n_dets,max_conf,mean_conf,is_hardneg
G:\drone\rgb_confusers_merged\images\train\airplane_train__002c1db2c5.jpg,AIRPLANE,3,0.8385,0.6492,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0033c83d6c.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0050a5d980.jpg,AIRPLANE,1,0.2633,0.2633,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__011383b347.jpg,AIRPLANE,2,0.4256,0.3703,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__013623fc69.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__01428dc4b9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0152d715f2.jpg,AIRPLANE,2,0.3248,0.2975,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0162caeba1.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__01a24273ea.jpg,AIRPLANE,1,0.2902,0.2902,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__01d5e1ab24.jpg,AIRPLANE,1,0.3865,0.3865,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__01f8eeacbc.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__01fae45f9d.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__02024d38cd.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__022dcb1da1.jpg,AIRPLANE,1,0.6938,0.6938,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0253703410.jpg,AIRPLANE,1,0.2541,0.2541,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__02548c60b2.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__02ce70e48d.jpg,AIRPLANE,1,0.8902,0.8902,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__02dae5f590.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__02dc8eac43.jpg,AIRPLANE,2,0.7535,0.593,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__02ddb4fbc8.jpg,AIRPLANE,1,0.7889,0.7889,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__03008181ef.jpg,AIRPLANE,1,0.6079,0.6079,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0306923051.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__033263d420.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__034a7f9c6b.jpg,AIRPLANE,1,0.4498,0.4498,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__03817e89fe.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__038a810540.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__03be0851ef.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__03efed51a8.jpg,AIRPLANE,1,0.2556,0.2556,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__042abacb42.jpg,AIRPLANE,1,0.4984,0.4984,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__043f1daabb.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__044175414e.jpg,AIRPLANE,2,0.8116,0.684,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0456ad150f.jpg,AIRPLANE,2,0.757,0.7239,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__045b7d5d94.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__04f73947b6.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0548334f67.jpg,AIRPLANE,2,0.3305,0.3016,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0566317309.jpg,AIRPLANE,3,0.5986,0.5251,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__056b79b764.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__057986232d.jpg,AIRPLANE,1,0.3344,0.3344,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0579d65905.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__057bc722cb.jpg,AIRPLANE,1,0.7079,0.7079,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__05a50fcb0e.jpg,AIRPLANE,2,0.4563,0.3644,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__05b4982019.jpg,AIRPLANE,1,0.2521,0.2521,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__05c7755a2a.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0643df3ae8.jpg,AIRPLANE,2,0.6957,0.531,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__064f73f966.jpg,AIRPLANE,2,0.66,0.5603,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__066731a4a0.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__06a83b3533.jpg,AIRPLANE,1,0.3524,0.3524,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__06bfb12a3a.jpg,AIRPLANE,1,0.5896,0.5896,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__06c08b1b7d.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__07007332c8.jpg,AIRPLANE,1,0.535,0.535,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__075275eec4.jpg,AIRPLANE,1,0.4334,0.4334,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__076d2266c9.jpg,AIRPLANE,1,0.4039,0.4039,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__07a2a56cad.jpg,AIRPLANE,1,0.2762,0.2762,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__07ad724ee7.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__08282a4117.jpg,AIRPLANE,2,0.5679,0.4433,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__088a142932.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0893be5ffc.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__08c3672a32.jpg,AIRPLANE,4,0.8358,0.6195,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__08d4637fcd.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__08e25dd199.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__08ec853bcc.jpg,AIRPLANE,1,0.4388,0.4388,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__09068e2149.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__096a8bab33.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0986f63ba5.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__09972927d7.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__09b776198a.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0a03fd02a1.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0a8535b5b9.jpg,AIRPLANE,0,0.0,0.0,0
G:\drone\rgb_confusers_merged\images\train\airplane_train__0a87618478.jpg,AIRPLANE,1,0.7254,0.7254,1
G:\drone\rgb_confusers_merged\images\train\airplane_train__0a8800a1e6.jpg,AIRPLANE,0,0.0,0.0,0
